title,locations,real_location
"Twee keer poging brandstichting bij café, getuigen gezocht",['Breda'],
Getuigen gezocht na aantreffen zwaargewonde jongen in park Rotterdam (Update),['Rotterdam'],
Ontvoerde vrouw uit Hoofddorp terecht,['Beersel'],
Eerste verdachte rond jeugdgroepen aangehouden,['Heemskerk'],
Explosievenlegger slachtoffer van eigen bom,['Rotterdam'],
Politie zoekt getuigen gewelddadige woningoverval Kraaierslaan Noordwijk,['Noordwijk'],
"Ministeries getroffen door datalek, administratieve taken stilgelegd",['Den Haag'],
DPG Media en minister Heinen van Financiën winnen Big Brother Award,['Nederland'],
Vermoedelijk sprake van nepagenten rond dood 80-jarige vrouw Nieuw West,['Amsterdam'],
Aanhoudingen na explosies zonnestudio Borne,['Borne'],
'Haagse Cyber Veiligheidsfakkel' voor het eerst uitgereikt aan digitaal wijkagent,['Den Haag'],
Preparaten en delen beschermde diersoorten in beslag genomen,['Maastricht'],
Politie verricht twee aanhoudingen na steekincident in Assen,['Assen'],
Programma CDA: verbod op anonieme socialmedia-accounts en leeftijdsverificatie,['Nederland'],
Verdachte aangehouden na steekincident Valkensteeg,['Dam'],
Vrouw (38) aangehouden wegens doxing,['Diemen'],
Getuigenoproep overval Groene Hilledijk in Rotterdam,['Rotterdam'],
AP hoeft niet op te treden tegen bedrijf dat ex-werknemer e-mail stuurde,['Rotterdam'],
Zesde aanhouding in onderzoek naar ontvoering Hoofddorp,['Hoofddorp'],
Minderjarige aangehouden voor mogelijke betrokkenheid explosies Leiden en Sassenheim,['Sassenheim'],
Vier verdachten op heterdaad aangehouden na schietincident Amsterdam-Noord,['Amsterdam'],
Getuigen gezocht steekincident Zoutkeetsingel,['Den Haag'],
"Man (20) gewond na schietincident Oderweg, politie verricht meerdere aanhoudingen",['Amsterdam'],
De Correspondent in hoger beroep afluisterzaak Openbaar Ministerie,['Wijnberg'],
Veroordeelde doorrijder die straf probeerde te ontlopen aangehouden,['Nederland'],
Verdachte dodelijk schietincident in Gouda aangetroffen in Scheveningen,['Nederland'],
Lachgas opgeslagen in garagebox,['Nederland'],
Zes aanhoudingen in onderzoek naar drugsbezorgservice,['Valkenburg'],
Politie doet onderzoek naar steekincident in Ferwert,['Noardeast-Fryslân'],
Europese Commissie bevestigt wegwerptelefoons voor topfunctionarissen,['Brussel'],
Onderzoek Drents Museum verdachten mogelijk afkomstig uit Noord-Holland,['Assen'],
Meerdere ‘artikel 8-controles’ in en rond Nijmegen,['Nijmegen'],
NCSC: 121 Nederlandse bedrijven vorig jaar slachtoffer van ransomware,['Nederland'],
MOB adviseert 70 euro contant geld per volwassene in huis te hebben,['Nederland'],
Kabinet gaat overheidsgebruik Amerikaanse cloud niet via regels beperken,['Nederland'],
Jaarcijfers politie: stijging overlast personen met verward gedrag houdt aan,['Nederland'],
Man gewond na sprong van trapleuning tijdens politieachtervolging,['Amsterdam'],
Man beroofd met mes aan Eendrachtsplein in Rotterdam,['Rotterdam'],
Vijftien verdachten verhoord: 39 aangiftes van oplichting behandeld door politie en OM,['Groningen'],
Staking KLM-grondpersoneel mag doorgaan onder voorwaarden,['Haarlem'],
Verdachten aangehouden voor mishandeling transpersoon,['Blauw'],
Brabantse jeugdzorginstantie lekt e-mailadressen cliënten en instellingen,['Eindhoven'],
Getuigen gezocht na steekincident Turfmarkt Den Haag,['Den Haag'],
Tweede verdachte in beeld in onderzoek dood Cemil Önal,['Rijswijk'],
"Ongeregeldheden op Scheveningen, politie zoekt getuigen",['Den Haag'],
Verdachte bankhelpdeskfraude aangehouden,['Amsterdam'],
Drie minderjarigen aangehouden voor zware mishandeling,['Horst'],
Politie controleert ruim 500 bestuurders in Haarlemmermeer,['Badhoevedorp'],
‘Zakenmannen’ aangehouden met nepsieraden op zak.,['Nijkerk'],
Fietser overleden na ongeval,['Vessem'],
